ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
9234,Air Clay Assorted Colors 5oz-Black,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0.683,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
9234-Case Pack 24,Air Clay Assorted Colors 5oz-Black-Casepack 24,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 24,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
9236,Air Clay Assorted Colors 5oz-Blue,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0.683,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
9236-Case Pack 24,Air Clay Assorted Colors 5oz-Blue-Casepack 24,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 24,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
9237-Case Pack 24,Air Clay Assorted Colors 5oz-Blue-Casepack 24,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 24,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
9238,Air Clay Assorted Colors 5oz-Green,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0.683,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
9233,Air Clay Assorted Colors 5oz-Red,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0.683,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
9233-Case Pack 24,Air Clay Assorted Colors 5oz-Red-Casepack 24,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 24,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
9239-Case Pack 24,Air Clay Assorted Colors 5oz-Red-Casepack 24,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 24,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
9235,Air Clay Assorted Colors 5oz-White,Toys,Play-Doh,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0.683,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
